zip,donations,total,donations_per_1000
20769,210,15896.250000000004,13.210662892191552
20770,496,21328.50999999997,23.25525786845873
20772,1389,31955.939999999937,43.46609738283407
20773,22,1109.36,19.831254056392876
20774,841,21914.559999999983,38.37631236949319
20775,8,80,100
20776,1963,65721.77000000003,29.868337386531113
20777,293,20180.67,14.518844022522543
20778,393,16143.259999999997,24.34452520742403
20779,125,5277.000000000001,23.68770134546143
20781,158,10096.329999999998,15.649250767358042
20782,7196,26050.830000000293,276.2292026779922
20783,527,9823.730000000003,53.64561118841823
20784,379,17513.350000000002,21.64063414480953
20785,651,38606.709999999955,16.862353720376607
20791,17,605.24,28.088031194236997
20794,793,15510.410000000007,51.1269528013766
20797,23,328.5799999999999,69.9981739606793
20810,7,102.54999999999998,68.25938566552902
20811,8,255,31.372549019607842
20812,15,2051.1,7.313149041977476
20813,43,670.26,64.15420881448989
20814,2487,202639.16000000053,12.273047322146388
20815,3805,721210.8099999983,5.275849927984314
20816,2495,284897.07999999885,8.757548515414795
20817,3009,522987.4099999978,5.7534845819711276
20818,316,18863.17999999999,16.752212511358113
20824,2,10,200
20825,4,269.4,14.847809948032666
20827,174,2008.82,86.6180145558089
20830,20,467.1,42.81738385784628
20832,3362,114980.55000000096,29.23972793659425
20833,963,30259.05999999992,31.82517897119086
20837,3241,57977.12000000006,55.90136246850476
20838,24,941.08,25.502614017936835
20839,18,512.8499999999999,35.09798186604271
20841,744,21229.879999999983,35.04494608542302
20842,136,10108.009999999997,13.45467604404824
20849,62,737.24,84.09744452281483
20850,5886,203583.64000000097,28.91194989931397
20851,719,18287.63,39.31619351441384
20852,4380,157263.340000001,27.851373371568812
20853,2626,124813.38000000051,21.039410999045046
20854,12131,944799.1799999998,12.83976558912763
20855,2795,92437.87000000042,30.23652535481386
20857,2,50,40
20859,988,20682.46999999992,47.769923031436946
20860,292,14416.610000000002,20.254414872844585
20861,257,11465.850000000008,22.414387071172204
20862,70,3784.6399999999976,18.49581466136807
20866,1219,25807.389999999996,47.23453243431437
20868,122,2218.01,55.004260575921656
20871,4612,80923.96000000063,56.99177351182473
20872,1755,39932.7499999999,43.94888906974863
20874,4528,132768.29000000193,34.10452902571792
20875,139,4183.309999999999,33.22727696489145
20876,3321,59598.96000000026,55.722448848100456
20877,4482,135030.5500000012,33.19248866275046
20878,6764,261582.07000000097,25.858041416982346
20879,1423,46258.66000000008,30.76180762693942
20880,2579,3529.360000000013,730.7273840016294
20882,2077,55039.370000000104,37.736623802198245
20883,8,379.61,21.074260425173204
20884,1,1,1000
20885,26,173.35,149.9855783097779
20886,2666,44448.79999999998,59.979122046039514
20888,51,227.00000000000003,224.66960352422905
20889,3,2,1500
20895,1821,84943.84000000029,21.43769342191257
20896,54,6205.740000000002,8.70162140212126
20901,1373,39357.02999999992,34.885762467340726
20902,2665,111594.10000000116,23.88119085148742
20903,587,24608.239999999972,23.85379856503353
20904,3751,162519.77000000112,23.08026894204917
20905,1413,51927.54000000004,27.210994397192685
20906,5229,113328.51000000157,46.14019896670245
20907,40,632.9200000000002,63.1991404916893
20908,1,20.24,49.40711462450594
20910,4974,124519.65000000046,39.94550257730391
20912,343,14698.359999999995,23.33593679839112
20913,1,52.05,19.21229586935639
20914,1,100,10
20915,2,10.42,191.93857965451056
20916,2,10,200
20918,1,1,1000
20938,1,250,4
21001,1059,32703.409999999927,32.38194426819718
21005,51,1740.7099999999998,29.2983897375209
21009,5140,66653.2000000004,77.11557734662355
21010,4,76,52.63157894736842
21011,6,194,30.927835051546392
21012,3137,92377.88000000056,33.95834587240994
21013,1870,51311.059999999954,36.444384505017084
21014,7659,148802.47000000265,51.47091980395126
21015,4943,124358.7200000016,39.74791635037685
21017,616,9860.279999999992,62.472870952954736
21020,2,73.93,27.052617340727714
21022,6,353.2,16.987542468856173
21023,18,1727.7,10.418475429762111
21028,651,12705.77,51.23656417517396
21029,996,55820.07999999995,17.843041428819177
21030,2511,108375.52000000064,23.169439002460933
21031,3,121.07,24.779053440158588
21032,2557,106763.8800000004,23.950047525436414
21034,196,4830.949999999999,40.57173019799419
21035,1619,105207.05000000032,15.388702563183694
21036,128,7781.639999999995,16.44897476624466
21037,2560,132253.67000000077,19.356740724094728
21040,1925,35919.79999999996,53.591612425459
21041,24,1808.51,13.270592919032795
21042,5156,197983.37000000064,26.0425913550213
21043,6185,122321.36000000112,50.56353199473864
21044,2871,89628.98000000049,32.03205034800111
21045,2114,65944.75000000004,32.057138741143135
21046,1732,41757.79999999992,41.47728089123476
21047,1600,55999.08000000003,28.571897966895154
21048,1342,54494.54000000002,24.62632036163622
21050,2703,80880.23000000008,33.41978626915375
21051,23,1247.9199999999998,18.430668632604657
21052,33,576.63,57.22907236876333
