zip,donations,total,donations_per_1000
21140,1294,55152.62999999996,23.462163091769167
21143,3,210,14.285714285714285
21144,11718,222529.8500000001,52.65810407008316
21145,1,50,20
21146,13148,487095.9399999995,26.99262900856865
21147,16,344.63,46.426602443199954
21149,1,7.71,129.7016861219196
21150,45,748,60.16042780748663
21152,1796,80268.00000000007,22.375043603926827
21153,1329,41921.91000000001,31.70179984642874
21154,568,14000.14,40.571022861199964
21155,578,15340.34,37.678434767417144
21156,40,1304.9999999999998,30.65134099616859
21157,8691,202460.4400000002,42.92690463381385
21158,4343,99560.21000000004,43.62184450997039
21160,285,5854.12,48.68366210463742
21161,1036,26816.29999999997,38.63321934793395
21162,705,11934.46,59.07263504171953
21163,4816,171400.08000000005,28.098003221468737
21164,1,100,10
21171,8,80,100
21173,1,1000,1
21174,33,228,144.73684210526315
21176,2,55,36.36363636363636
21200,22,110,200
21201,6643,366729.6200000009,18.114162690212975
21202,6148,382084.8500000009,16.090666772053343
21203,167,7428.41,22.481257765793757
21204,12273,511605.4999999996,23.98918698098439
21205,1021,23248.11000000001,43.91754856631354
21206,6518,111044.22,58.697336970803164
21207,13152,198563.10000000012,66.23587161965135
21208,21511,700900.8699999987,30.690502638411676
21209,26774,644100.539999995,41.56804464098137
21210,25454,1443604.7700000436,17.63224985741716
21211,13357,433904.2699999998,30.783287751466485
21212,25556,1146181.100000002,22.296651026613468
21213,3715,75637.8300000001,49.11563433271413
21214,7525,156481.40000000066,48.08878243676225
21215,10084,148706.3900000006,67.8114773682554
21216,3837,59446.779999999984,64.54512759143559
21217,6787,338081.31999999844,20.075051765652216
21218,31378,1018091.8099999998,30.820403122582828
21219,1232,28739.510000000017,42.867815074091354
21220,3341,75693.55000000031,44.138503214606615
21221,3250,65432.59999999995,49.669430834171386
21222,3776,62814.88999999996,60.11313559571627
21223,1598,27742.830000000005,57.60046830117907
21224,12042,379731.1799999997,31.71190735509265
21225,2446,27074.09999999997,90.34464672879257
21226,636,12090.19,52.604632350690935
21227,4190,96694.33000000005,43.33242704096505
21228,26381,597323.7399999986,44.16532984274166
21229,8355,157636.48000000007,53.00169097914389
21230,13266,623503.7299999964,21.276536709732397
